system:index,EVI,LC_Type1,NDVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,year,.geo
0_1,5066.478260869565,2,7938.782608695652,384.69565217391306,3194.913043478261,244.7826086956522,623.9130434782609,2001,"{""type"":""Point"",""coordinates"":[100.21574980221015,1.041513306728821]}"
0_4,4860.391304347826,2,7648.782608695652,503.0869565217391,3260.6521739130435,450.5217391304348,597.7391304347826,2001,"{""type"":""Point"",""coordinates"":[117.64568409548421,4.894018323308972]}"
0_8,4815.304347826087,2,7284.086956521739,596.0869565217391,3334.2608695652175,506.69565217391306,648.7391304347826,2001,"{""type"":""Point"",""coordinates"":[114.55135717989616,1.6703316066417824]}"
0_16,4195.391304347826,14,6236.652173913043,739.2608695652174,3064.0,481.39130434782606,833.8260869565217,2001,"{""type"":""Point"",""coordinates"":[102.43291792862512,3.5561080382625603]}"
0_18,6227.826086956522,2,8475.826086956522,336.30434782608694,3891.217391304348,261.9130434782609,636.5652173913044,2001,"{""type"":""Point"",""coordinates"":[101.2016331005369,6.375634668869428]}"
0_20,4774.0,2,7725.347826086957,499.8695652173913,3045.695652173913,364.82608695652175,568.7826086956521,2001,"{""type"":""Point"",""coordinates"":[114.18054592897732,2.9947507507513667]}"
0_23,4647.782608695652,2,7588.391304347826,424.5652173913044,2775.391304347826,406.5652173913044,551.3913043478261,2001,"{""type"":""Point"",""coordinates"":[114.292631304401,4.568444002873523]}"
0_28,4740.913043478261,2,7013.565217391304,708.4347826086956,3475.521739130435,520.8260869565217,712.695652173913,2001,"{""type"":""Point"",""coordinates"":[115.44450148552491,4.410517250718994]}"
0_40,4663.04347826087,2,7578.260869565217,491.5217391304348,3032.304347826087,358.60869565217394,647.6086956521739,2001,"{""type"":""Point"",""coordinates"":[102.92687663531474,3.026129356257535]}"
0_43,5394.0,8,7774.95652173913,458.4782608695652,3611.304347826087,229.91304347826087,781.2608695652174,2001,"{""type"":""Point"",""coordinates"":[101.22832748090732,6.515523893352562]}"
0_46,4784.217391304348,2,7398.695652173913,488.4782608695652,3070.695652173913,565.4347826086956,563.6521739130435,2001,"{""type"":""Point"",""coordinates"":[114.31400274121735,0.880176204158791]}"
0_47,4377.04347826087,2,8105.739130434783,291.4347826086956,2700.8260869565215,174.52173913043478,501.17391304347825,2001,"{""type"":""Point"",""coordinates"":[115.43079617380793,4.009080796379549]}"
0_48,3975.9565217391305,2,6685.217391304348,721.304347826087,2837.0434782608695,589.3478260869565,684.8260869565217,2001,"{""type"":""Point"",""coordinates"":[115.19848476562355,2.520733688829331]}"
0_52,4286.391304347826,2,6794.434782608696,630.5217391304348,2996.521739130435,644.0434782608696,575.1739130434783,2001,"{""type"":""Point"",""coordinates"":[101.94301368611654,1.2791267565168245]}"
0_53,5702.739130434783,2,8087.565217391304,365.0869565217391,3428.695652173913,309.2173913043478,792.1304347826087,2001,"{""type"":""Point"",""coordinates"":[101.16312129249584,5.864856262199352]}"
0_54,4352.95652173913,2,6959.95652173913,597.0,2971.6521739130435,535.4347826086956,617.695652173913,2001,"{""type"":""Point"",""coordinates"":[112.18473115531785,1.7467749429466675]}"
0_57,4645.086956521739,2,7380.913043478261,640.9565217391304,3305.3478260869565,460.0869565217391,604.0434782608696,2001,"{""type"":""Point"",""coordinates"":[114.64429676019473,1.2475826850198741]}"
0_60,5576.826086956522,2,8273.521739130434,354.04347826086956,3388.782608695652,249.2608695652174,610.3913043478261,2001,"{""type"":""Point"",""coordinates"":[101.36357081813341,6.212930739745151]}"
0_66,4525.217391304348,2,6799.565217391304,654.4782608695652,3237.391304347826,514.3913043478261,621.8695652173913,2001,"{""type"":""Point"",""coordinates"":[117.58914669286679,6.327756978468061]}"
0_68,3249.181818181818,13,5209.727272727273,937.5909090909091,2784.318181818182,717.4545454545455,1167.8636363636363,2001,"{""type"":""Point"",""coordinates"":[117.59045002978431,3.2998593037021293]}"
0_69,4832.608695652174,11,7340.434782608696,576.2173913043479,3167.478260869565,510.4782608695652,359.2173913043478,2001,"{""type"":""Point"",""coordinates"":[117.34402307380824,4.1757266382703175]}"
0_71,5129.521739130435,2,8076.304347826087,350.17391304347825,3127.217391304348,323.5652173913044,565.0,2001,"{""type"":""Point"",""coordinates"":[103.08155938470604,2.510691502086894]}"
0_73,4555.913043478261,2,7742.173913043478,446.82608695652175,2912.217391304348,394.69565217391306,585.7391304347826,2001,"{""type"":""Point"",""coordinates"":[103.03721279217956,4.535932569753257]}"
0_75,4391.260869565217,2,7283.04347826087,510.2173913043478,2909.1739130434785,490.95652173913044,627.2173913043479,2001,"{""type"":""Point"",""coordinates"":[117.21739111891634,1.7362310260480474]}"
0_77,4557.95652173913,14,7260.304347826087,514.8695652173913,3117.8260869565215,317.7826086956522,908.1739130434783,2001,"{""type"":""Point"",""coordinates"":[100.26139825841094,1.0020799568266823]}"
0_81,4275.782608695652,2,6574.217391304348,791.7826086956521,3215.9565217391305,699.5652173913044,768.0869565217391,2001,"{""type"":""Point"",""coordinates"":[114.81387894183955,1.8002664410148248]}"
0_83,4198.869565217391,2,6280.391304347826,871.5652173913044,3343.5652173913045,872.6086956521739,774.2173913043479,2001,"{""type"":""Point"",""coordinates"":[114.88626286260033,1.6838050854742443]}"
0_86,5272.260869565217,8,7697.217391304348,480.0869565217391,3461.5652173913045,380.17391304347825,763.0434782608696,2001,"{""type"":""Point"",""coordinates"":[117.23336429768374,0.9060953381643013]}"
0_87,4708.869565217391,2,7494.217391304348,435.39130434782606,3017.8695652173915,365.5652173913044,710.1739130434783,2001,"{""type"":""Point"",""coordinates"":[116.44907296952353,5.778907623914775]}"
0_88,4444.04347826087,8,7207.521739130435,545.0869565217391,3034.4347826086955,385.4782608695652,796.695652173913,2001,"{""type"":""Point"",""coordinates"":[99.79012321819141,0.9886466561012646]}"
0_91,4507.739130434783,2,6585.391304347826,806.2608695652174,3464.521739130435,842.4347826086956,832.9565217391304,2001,"{""type"":""Point"",""coordinates"":[118.39395239173652,1.2055678444035463]}"
0_92,5790.782608695652,8,7871.260869565217,492.5217391304348,3889.521739130435,405.5652173913044,738.304347826087,2001,"{""type"":""Point"",""coordinates"":[100.64949220398728,1.134603323331786]}"
0_94,5043.782608695652,9,7431.869565217391,508.4347826086956,3427.086956521739,297.0,850.8695652173913,2001,"{""type"":""Point"",""coordinates"":[102.15785133067652,5.925644926003369]}"
0_96,5488.739130434783,2,8463.0,289.04347826086956,3369.0434782608695,210.3913043478261,526.2173913043479,2001,"{""type"":""Point"",""coordinates"":[116.5169411452444,5.8488017603249896]}"
0_100,5542.260869565217,2,8086.739130434783,398.7391304347826,3511.9565217391305,339.2173913043478,588.7826086956521,2001,"{""type"":""Point"",""coordinates"":[102.44210632897494,5.578684132548198]}"
0_102,3808.217391304348,2,6561.173913043478,777.7826086956521,2805.695652173913,801.0434782608696,777.5217391304348,2001,"{""type"":""Point"",""coordinates"":[101.41625547402805,5.023756484884609]}"
0_108,3966.6521739130435,2,6868.95652173913,619.5652173913044,2776.1739130434785,625.6521739130435,700.5652173913044,2001,"{""type"":""Point"",""coordinates"":[101.40079759466384,4.588566305005527]}"
0_109,4993.478260869565,2,7088.260869565217,728.3478260869565,3611.0,676.304347826087,729.4782608695652,2001,"{""type"":""Point"",""coordinates"":[117.612786556431,1.7940513340023698]}"
0_112,4501.04347826087,2,7372.782608695652,593.7391304347826,3083.5652173913045,383.9130434782609,677.304347826087,2001,"{""type"":""Point"",""coordinates"":[101.86937149337366,4.310136518126672]}"
